target_train_path,seed_index,seed,test_acc1,avg_auc,auc_I,auc_M,auc_P,auc_R
findings_final_0814_seed2132231585_size10000,0,14942,73.78,0.8902827893807024,0.9737894793119453,0.8033933173457327,0.8633224844511836,0.9206258764139479
findings_final_0814_seed2132231585_size10000,1,43277,74.61,0.894042379513529,0.9748564877428945,0.8090337671953152,0.8702760196222001,0.922003243493706
findings_final_0814_seed2132231585_size10000,2,79280,74.55,0.8939587122776866,0.9750454690807236,0.8093081193008577,0.8694905969510236,0.9219906637781417
findings_final_0814_seed2132231585_size10000,3,8463,74.36,0.8941470543213985,0.9747875982416545,0.8102576932699525,0.8688033319829604,0.9227395937910263
findings_final_0814_seed2132231585_size10000,4,12650,74.5,0.8942993442889531,0.9748945754467165,0.809867237826744,0.8701481488818034,0.9222874150005486
findings_final_0814_seed-190708218_size5000,0,14942,73.76,0.8889089950253795,0.9740309694235131,0.7971794699683298,0.8652091817955548,0.9192163589141205
findings_final_0814_seed-190708218_size5000,1,43277,73.63,0.8875432079324672,0.9731487215294415,0.7966907701101028,0.8626410574104999,0.9176922826798248
findings_final_0814_seed-190708218_size5000,2,79280,74.1,0.8899035764957225,0.9740677506889452,0.7998813744454681,0.8656676805334755,0.919997500315001
findings_final_0814_seed-190708218_size5000,3,8463,74.15,0.890407716612867,0.9739766014874506,0.8018814924201281,0.8658698741286491,0.9199028984152403
findings_final_0814_seed-190708218_size5000,4,12650,74.6,0.8910585994234346,0.9740624746877562,0.803377004297939,0.866428704694362,0.9203662140136811
findings_final_0814_seed-1872107095_size4000,0,14942,74.07,0.8886663573991519,0.9727701056345883,0.801685247675594,0.8613389177738799,0.9188711585125451
findings_final_0814_seed-1872107095_size4000,1,43277,73.83,0.8866874291603404,0.9729139143527131,0.7950220388868887,0.860556877074427,0.9182568863273326
findings_final_0814_seed-1872107095_size4000,2,79280,74.22,0.8886606698517212,0.9730204895767323,0.8011446796479476,0.8615384943671247,0.9189390158150801
findings_final_0814_seed-1872107095_size4000,3,8463,74.07,0.8886968989648971,0.9732490660472942,0.8013068337838745,0.8610109067782847,0.9192207892501351
findings_final_0814_seed-1872107095_size4000,4,12650,74.08,0.8880975046942724,0.9730903337829492,0.8026829878506441,0.8581543082575429,0.9184623888859536
findings_final_0814_seed678668699_size3000,0,14942,73.59,0.8827842438300587,0.9711701205882832,0.7828087325656845,0.8620491318357801,0.9151089903304869
