d_kl,source_train_path,target_train_path,seed_index,args.seed,validate_acc,test_acc
15,findings_final_0814-portion1ita21round14_seed-358819036_size10000,findings_final_0814_seed-1331694080_size100,0,79280,18.18181800842285,32.33
15,findings_final_0814-portion1ita21round14_seed-358819036_size10000,findings_final_0814_seed-1331694080_size100,1,8463,18.18181800842285,29.82
15,findings_final_0814-portion1ita21round14_seed-358819036_size10000,findings_final_0814_seed-1331694080_size100,2,12650,18.18181800842285,30.02
15,findings_final_0814-portion1ita21round14_seed174506763_size10000,findings_final_0814_seed-1331694080_size100,0,79280,9.090909004211426,30.86
15,findings_final_0814-portion1ita21round14_seed174506763_size10000,findings_final_0814_seed-1331694080_size100,1,8463,18.18181800842285,26.11
15,findings_final_0814-portion1ita21round14_seed174506763_size10000,findings_final_0814_seed-1331694080_size100,2,12650,18.18181800842285,33.3
15,findings_final_0814-portion1ita21round14_seed-1580326299_size10000,findings_final_0814_seed-1331694080_size100,0,79280,18.18181800842285,34.6
15,findings_final_0814-portion1ita21round14_seed-1580326299_size10000,findings_final_0814_seed-1331694080_size100,1,8463,18.18181800842285,28.9
15,findings_final_0814-portion1ita21round14_seed-1580326299_size10000,findings_final_0814_seed-1331694080_size100,2,12650,18.18181800842285,30.97
15,findings_final_0814-portion1ita21round14_seed1514764506_size10000,findings_final_0814_seed-1331694080_size100,0,79280,9.090909004211426,30.37
15,findings_final_0814-portion1ita21round14_seed1514764506_size10000,findings_final_0814_seed-1331694080_size100,1,8463,18.18181800842285,28.66
15,findings_final_0814-portion1ita21round14_seed1514764506_size10000,findings_final_0814_seed-1331694080_size100,2,12650,9.090909004211426,28.87
