d_kl,source_train_path,target_train_path,seed_index,seed,validate_acc,test_acc
25,findings_final_0814-portion1ita28round3_seed-279490714_size10000,findings_final_0814_seed2132231585_size10000,3,8463,100.0,33.3
25,findings_final_0814-portion1ita28round3_seed-279490714_size10000,findings_final_0814_seed2132231585_size10000,4,12650,100.0,32.41
30,findings_final_0814-portion1ita29round18_seed-1653352491_size10000,findings_final_0814_seed2132231585_size10000,0,14942,100.0,18.95
30,findings_final_0814-portion1ita29round18_seed-1653352491_size10000,findings_final_0814_seed2132231585_size10000,1,43277,100.0,23.8
30,findings_final_0814-portion1ita29round18_seed-1653352491_size10000,findings_final_0814_seed2132231585_size10000,2,79280,100.0,23.59
30,findings_final_0814-portion1ita29round18_seed-1653352491_size10000,findings_final_0814_seed2132231585_size10000,3,8463,100.0,21.8
30,findings_final_0814-portion1ita29round18_seed-1653352491_size10000,findings_final_0814_seed2132231585_size10000,4,12650,100.0,23.53
15,findings_final_0814-portion1ita21round14_seed-358819036_size10000,findings_final_0814_seed2132231585_size10000,0,14942,99.75980784627703,36.06
15,findings_final_0814-portion1ita21round14_seed-358819036_size10000,findings_final_0814_seed2132231585_size10000,1,43277,99.67974379503603,29.69
15,findings_final_0814-portion1ita21round14_seed-358819036_size10000,findings_final_0814_seed2132231585_size10000,2,79280,99.67974379503603,28.02
15,findings_final_0814-portion1ita21round14_seed-358819036_size10000,findings_final_0814_seed2132231585_size10000,3,8463,99.83987189751801,29.24
15,findings_final_0814-portion1ita21round14_seed-358819036_size10000,findings_final_0814_seed2132231585_size10000,4,12650,99.75980784627703,25.25
15,findings_final_0814-portion1ita21round14_seed174506763_size10000,findings_final_0814_seed2132231585_size10000,0,14942,99.919935948759,34.02
15,findings_final_0814-portion1ita21round14_seed174506763_size10000,findings_final_0814_seed2132231585_size10000,1,43277,99.919935948759,30.13
15,findings_final_0814-portion1ita21round14_seed174506763_size10000,findings_final_0814_seed2132231585_size10000,2,79280,99.919935948759,28.23
15,findings_final_0814-portion1ita21round14_seed174506763_size10000,findings_final_0814_seed2132231585_size10000,3,8463,99.75980784627703,30.89
15,findings_final_0814-portion1ita21round14_seed174506763_size10000,findings_final_0814_seed2132231585_size10000,4,12650,99.919935948759,31.66
15,findings_final_0814-portion1ita21round14_seed-1580326299_size10000,findings_final_0814_seed2132231585_size10000,0,14942,99.75980784627703,36.79
15,findings_final_0814-portion1ita21round14_seed-1580326299_size10000,findings_final_0814_seed2132231585_size10000,1,43277,99.83987189751801,22.1
15,findings_final_0814-portion1ita21round14_seed-1580326299_size10000,findings_final_0814_seed2132231585_size10000,2,79280,99.67974379503603,20.44
15,findings_final_0814-portion1ita21round14_seed-1580326299_size10000,findings_final_0814_seed2132231585_size10000,3,8463,99.43955164131305,30.4
15,findings_final_0814-portion1ita21round14_seed-1580326299_size10000,findings_final_0814_seed2132231585_size10000,4,12650,99.67974379503603,21.74
15,findings_final_0814-portion1ita21round14_seed1514764506_size10000,findings_final_0814_seed2132231585_size10000,0,14942,100.0,34.94
15,findings_final_0814-portion1ita21round14_seed1514764506_size10000,findings_final_0814_seed2132231585_size10000,1,43277,99.919935948759,28.01
15,findings_final_0814-portion1ita21round14_seed1514764506_size10000,findings_final_0814_seed2132231585_size10000,2,79280,99.83987189751801,24.17
15,findings_final_0814-portion1ita21round14_seed1514764506_size10000,findings_final_0814_seed2132231585_size10000,3,8463,99.919935948759,28.14
15,findings_final_0814-portion1ita21round14_seed1514764506_size10000,findings_final_0814_seed2132231585_size10000,4,12650,99.919935948759,30.89
0,findings_final_0814_seed1591536269_size10000,findings_final_0814_seed-190708218_size5000,0,14942,74.4595676541233,73.05
0,findings_final_0814_seed1591536269_size10000,findings_final_0814_seed-190708218_size5000,1,43277,74.37950360288231,73.26
