d_kl,source_train_path,source_seed,target_train_path,seed,validate_acc,test_acc
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed756906437_size200,18807,62.499996185302734,62.09
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed756906437_size200,44202,62.499996185302734,61.4
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed756906437_size200,20252,66.66666412353516,63.29
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed756906437_size200,18793,62.499996185302734,62.1
0,findings_final_0814_seed1591536269_size10000,79280,findings_final_0814_seed756906437_size200,30005,62.499996185302734,62.32
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed756906437_size200,18807,58.33333206176758,60.92
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed756906437_size200,44202,58.33333206176758,60.01
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed756906437_size200,20252,62.499996185302734,62.13
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed756906437_size200,18793,62.499996185302734,61.58
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,43277,findings_final_0814_seed756906437_size200,30005,62.499996185302734,61.38
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed756906437_size200,18807,50.0,61.22
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed756906437_size200,44202,50.0,61.11
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed756906437_size200,20252,50.0,63.12
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed756906437_size200,18793,50.0,60.72
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,79280,findings_final_0814_seed756906437_size200,30005,50.0,61.99
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed756906437_size200,18807,50.0,60.04
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed756906437_size200,44202,50.0,60.42
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed756906437_size200,20252,54.166664123535156,60.17
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed756906437_size200,18793,58.33333206176758,60.13
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,14942,findings_final_0814_seed756906437_size200,30005,50.0,59.63
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed756906437_size200,18807,58.33333206176758,56.11
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed756906437_size200,44202,58.33333206176758,52.72
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed756906437_size200,20252,58.33333206176758,57.82
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed756906437_size200,18793,58.33333206176758,54.33
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,14942,findings_final_0814_seed756906437_size200,30005,54.166664123535156,53.87
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed756906437_size200,18807,62.499996185302734,53.61
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed756906437_size200,44202,58.33333206176758,52.46
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed756906437_size200,20252,58.33333206176758,55.13
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed756906437_size200,18793,58.33333206176758,54.15
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,14942,findings_final_0814_seed756906437_size200,30005,62.499996185302734,52.86
