d_kl,source_train_path,seed_index,args.seed,validate_acc,test_acc
0,findings_final_0814_seed1591536269_size10000,0,14942,74.77982385908727,74.03
0,findings_final_0814_seed1591536269_size10000,1,43277,74.93995196156925,74.34
0,findings_final_0814_seed1591536269_size10000,2,79280,75.02001601281025,74.77
0,findings_final_0814_seed1591536269_size10000,3,8463,74.69975980784628,74.18
0,findings_final_0814_seed1591536269_size10000,4,12650,74.53963170536429,74.74
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,0,14942,87.8302642113691,64.52
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,1,43277,88.15052041633307,63.52
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,2,79280,87.9103282626101,64.93
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,3,8463,88.15052041633307,64.23
1,findings_final_0814-portion1ita06round14_seed2016863826_size10000,4,12650,88.07045636509207,62.78
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,0,14942,97.51801441152922,44.04
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,1,43277,97.43795036028823,43.68
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,2,79280,97.59807846277022,45.24
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,3,8463,97.51801441152922,45.15
5,findings_final_0814-portion1ita13round20_seed1708886178_size10000,4,12650,97.51801441152922,45.76
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,0,14942,100.0,41.97
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,1,43277,100.0,39.74
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,2,79280,100.0,40.96
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,3,8463,100.0,42.23
10,findings_final_0814-portion1ita16round14_seed1948253030_size10000,4,12650,100.0,42.4
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,0,14942,99.919935948759,25.67
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,1,43277,99.919935948759,32.62
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,2,79280,99.919935948759,32.57
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,3,8463,99.919935948759,30.83
15,findings_final_0814-portion1ita21round14_seed1879396416_size10000,4,12650,99.919935948759,34.02
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,0,14942,100.0,40.85
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,1,43277,100.0,41.93
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,2,79280,100.0,40.53
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,3,8463,100.0,42.83
20,findings_final_0814-portion1ita27round9_seed1940262766_size10000,4,12650,100.0,40.01
