target_train_path,seed_index,args.seed,validate_acc,test_acc
findings_final_0814_seed2132231585_size10000,0,14942,74.05924739791834,73.78
findings_final_0814_seed2132231585_size10000,1,43277,74.21937550040032,74.61
findings_final_0814_seed2132231585_size10000,2,79280,73.81905524419535,74.55
findings_final_0814_seed2132231585_size10000,3,8463,74.13931144915932,74.36
findings_final_0814_seed2132231585_size10000,4,12650,74.29943955164131,74.5
findings_final_0814_seed-190708218_size5000,0,14942,74.35897435897436,73.76
findings_final_0814_seed-190708218_size5000,1,43277,73.71794871794872,73.63
findings_final_0814_seed-190708218_size5000,2,79280,74.51923076923077,74.1
findings_final_0814_seed-190708218_size5000,3,8463,74.35897435897436,74.15
findings_final_0814_seed-190708218_size5000,4,12650,74.03846153846153,74.6
findings_final_0814_seed-1872107095_size4000,0,14942,73.74749485237565,74.07
findings_final_0814_seed-1872107095_size4000,1,43277,73.74749503584806,73.83
findings_final_0814_seed-1872107095_size4000,2,79280,73.74749485237565,74.22
findings_final_0814_seed-1872107095_size4000,3,8463,73.94789576100443,74.07
findings_final_0814_seed-1872107095_size4000,4,12650,73.74749503584806,74.08
findings_final_0814_seed678668699_size3000,0,14942,75.66844915706206,73.59
findings_final_0814_seed678668699_size3000,1,43277,77.00534763438179,72.42
findings_final_0814_seed678668699_size3000,2,79280,77.54010691107275,72.99
findings_final_0814_seed678668699_size3000,3,8463,76.47058819449522,73.32
findings_final_0814_seed678668699_size3000,4,12650,76.20320859694863,73.41
findings_final_0814_seed1033059257_size2000,0,14942,80.32128514056225,71.74
findings_final_0814_seed1033059257_size2000,1,43277,78.714859437751,70.59
findings_final_0814_seed1033059257_size2000,2,79280,80.72289156626506,71.94
findings_final_0814_seed1033059257_size2000,3,8463,81.12449799196787,72.73
findings_final_0814_seed1033059257_size2000,4,12650,79.51807228915662,72.66
findings_final_0814_seed238506806_size1000,0,14942,72.58064491518083,70.66
findings_final_0814_seed238506806_size1000,1,43277,76.61290248747795,70.96
findings_final_0814_seed238506806_size1000,2,79280,74.19354887931577,71.85
findings_final_0814_seed238506806_size1000,3,8463,75.000000492219,71.77
findings_final_0814_seed238506806_size1000,4,12650,72.58064565350932,69.68
findings_final_0814_seed-972126700_size500,0,14942,68.8524588913214,68.31
findings_final_0814_seed-972126700_size500,1,43277,65.57376974137102,69.46
findings_final_0814_seed-972126700_size500,2,79280,67.21311431634622,69.29
findings_final_0814_seed-972126700_size500,3,8463,67.2131140036661,67.94
findings_final_0814_seed-972126700_size500,4,12650,68.8524588913214,67.79
findings_final_0814_seed-1133351443_size400,0,14942,73.46938728799626,68.02
findings_final_0814_seed-1133351443_size400,1,43277,71.42857158427336,66.37
findings_final_0814_seed-1133351443_size400,2,79280,75.51020361452686,68.06
findings_final_0814_seed-1133351443_size400,3,8463,75.51020299171915,67.87
findings_final_0814_seed-1133351443_size400,4,12650,75.51020361452686,68.4
findings_final_0814_seed-1227021050_size300,0,14942,66.66666666666667,67.88
findings_final_0814_seed-1227021050_size300,1,43277,66.66666666666667,65.02
findings_final_0814_seed-1227021050_size300,2,79280,66.66666666666667,64.79
findings_final_0814_seed-1227021050_size300,3,8463,69.44444444444444,66.38
findings_final_0814_seed-1227021050_size300,4,12650,69.44444444444444,66.39
findings_final_0814_seed756906437_size200,0,14942,50.0,57.59
findings_final_0814_seed756906437_size200,1,43277,58.33333206176758,58.97
findings_final_0814_seed756906437_size200,2,79280,58.33333206176758,56.9
findings_final_0814_seed756906437_size200,3,8463,54.166664123535156,57.21
findings_final_0814_seed756906437_size200,4,12650,62.499996185302734,57.89
findings_final_0814_seed-1331694080_size100,0,14942,72.7272720336914,61.13
findings_final_0814_seed-1331694080_size100,1,43277,72.7272720336914,63.86
findings_final_0814_seed-1331694080_size100,2,79280,72.7272720336914,63.33
findings_final_0814_seed-1331694080_size100,3,8463,72.7272720336914,60.34
findings_final_0814_seed-1331694080_size100,4,12650,72.7272720336914,63.23
findings_final_0814_seed-53154026_size50,0,14942,60.0,43.74
findings_final_0814_seed-53154026_size50,1,43277,60.0,40.25
findings_final_0814_seed-53154026_size50,2,79280,60.0,46.76
findings_final_0814_seed-53154026_size50,3,8463,40.0,40.03
findings_final_0814_seed-53154026_size50,4,12650,60.0,44.17
