y_true,p0,p1,p2,p3,prediction,correct
0,0.023355280980467796,0.13526105880737305,0.7939364314079285,0.04744719713926315,2,0
3,4.94126470584888e-05,0.13459248840808868,0.011335710063576698,0.8540224432945251,3,1
2,0.005695581901818514,0.23023377358913422,0.40627720952033997,0.3577934205532074,2,1
3,0.00019060229533351958,0.14120697975158691,0.028632361441850662,0.8299700617790222,3,1
3,0.00014645677583757788,0.12867838144302368,0.015296977944672108,0.8558781147003174,3,1
1,0.3454107344150543,0.20662200450897217,0.3913458585739136,0.056621402502059937,2,0
3,3.337857197038829e-05,0.13342812657356262,0.02274438925087452,0.8437941074371338,3,1
2,0.21675172448158264,0.06071363762021065,0.7004255056381226,0.022109126672148705,2,1
1,0.0052293636836111546,0.35294198989868164,0.12338274717330933,0.5184459686279297,3,0
0,0.8523995280265808,0.012624491937458515,0.13352520763874054,0.0014507382875308394,0,1
0,0.9879656434059143,0.002401502802968025,0.00880239624530077,0.0008303888607770205,0,1
0,0.9893191456794739,0.0015755908098071814,0.008881627582013607,0.00022358653950504959,0,1
3,0.001904809265397489,0.1986083686351776,0.10534690320491791,0.694139838218689,3,1
1,0.3434346914291382,0.10983704775571823,0.4971715807914734,0.04955664649605751,2,0
3,0.04244433715939522,0.19650667905807495,0.616701602935791,0.14434732496738434,2,0
0,0.7667994499206543,0.022970639169216156,0.20452536642551422,0.005704576149582863,0,1
3,0.0001329606311628595,0.19543376564979553,0.01793614774942398,0.786497175693512,3,1
2,0.9177104830741882,0.023346243426203728,0.04629317298531532,0.012650099582970142,0,0
1,0.004470835439860821,0.18760988116264343,0.06894497573375702,0.7389743328094482,3,0
3,2.520505768188741e-05,0.06342733651399612,0.006483905483037233,0.9300636053085327,3,1
3,9.375115951115731e-06,0.06673471629619598,0.003825191408395767,0.9294307827949524,3,1
3,0.00017738786118570715,0.09364622086286545,0.010469418950378895,0.8957070112228394,3,1
0,0.7361335754394531,0.008741635829210281,0.2541053593158722,0.0010194799397140741,0,1
2,0.966779887676239,0.004068018868565559,0.02867700718343258,0.0004750712541863322,0,0
